,0
1905-04-30,0.18335476959409214
1905-05-01,0.16987271310698326
1905-05-02,0.14879288318377187
1905-05-03,0.13012027719049774
1905-05-04,0.12059787407755057
1905-05-05,0.11665325175118542
1905-05-06,0.11526480907733036
1905-05-07,0.10828695251819273
1905-05-08,0.08900669563514467
1905-05-09,0.048070361728083766
1905-05-10,-0.01749263669462496
1905-05-11,-0.10489534324670176
1905-05-12,-0.20219952278001446
1905-05-13,-0.29812805561378763
1905-05-14,-0.3850888160164442
1905-05-15,-0.46375051576097936
1905-05-16,-0.5354012767800023
1905-05-17,-0.5986430870285187
1905-05-18,-0.6434255253911247
1905-05-19,-0.6549071859912934
1905-05-20,-0.6166872438993762
1905-05-21,-0.521053993356326
1905-05-22,-0.37279450832728983
1905-05-23,-0.19099386644632543
1905-05-24,0.00023790420673309998
1905-05-25,0.18017065411521183
1905-05-26,0.3408327251433556
1905-05-27,0.4859546717292881
1905-05-28,0.6265582340053781
1905-05-29,0.7702682896934944
1905-05-30,0.9161773824039469
1905-05-31,1.0521793034898599
1905-06-01,1.1610978190188435
1905-06-02,1.227435292857396
1905-06-03,1.2461823863767119
1905-06-04,1.223163793040447
1905-06-05,1.1713507959294
1905-06-06,1.1026194087839467
1905-06-07,1.0253414157796967
1905-06-08,0.9431291906338105
1905-06-09,0.8565994122548655
1905-06-10,0.7620516454476287
1905-06-11,0.6531900037991635
1905-06-12,0.5227776104269476
1905-06-13,0.367828982731883
1905-06-14,0.19235805484810992
1905-06-15,0.010483994470547528
1905-06-16,-0.15604865137587515
1905-06-17,-0.28311436110453037
1905-06-18,-0.3539333380552906
1905-06-19,-0.36428492722339545
1905-06-20,-0.32336980036941443
1905-06-21,-0.24765745662002736
1905-06-22,-0.1554282980439095
1905-06-23,-0.06165685496024653
1905-06-24,0.022701161503620393
1905-06-25,0.091390827392145
1905-06-26,0.14128398901005274
1905-06-27,0.1727050023228106
1905-06-28,0.18826877681772458
1905-06-29,0.19241982928101653
1905-06-30,0.18843712543931673
1905-07-01,0.17747748272339064
1905-07-02,0.15804386723930317
1905-07-03,0.12907089839835995
1905-07-04,0.09266204279775075
1905-07-05,0.056947337270999585
1905-07-06,0.033650851360284936
1905-07-07,0.033454195743100615
1905-07-08,0.05980075126002342
1905-07-09,0.1071276005454093
1905-07-10,0.16194132200906175
1905-07-11,0.208878433863862
1905-07-12,0.23713428539320947
1905-07-13,0.24632558953849187
1905-07-14,0.24605001310602692
1905-07-15,0.251002101516412
1905-07-16,0.2718027944960749
1905-07-17,0.30878242740534473
1905-07-18,0.3503259189999654
1905-07-19,0.3783494465434417
1905-07-20,0.37517951152285
1905-07-21,0.3306145827695662
1905-07-22,0.2452402754684882
1905-07-23,0.131238420299354
1905-07-24,0.007426922858670269
1905-07-25,-0.10790747593049312
1905-07-26,-0.20383545220813076
1905-07-27,-0.27688070725740177
1905-07-28,-0.32731770472927035
1905-07-29,-0.35446952902048234
1905-07-30,-0.3565436875790289
1905-07-31,-0.3318673375164686
1905-08-01,-0.28069129935079706
1905-08-02,-0.20479400011462306
1905-08-03,-0.1084506379313001
1905-08-04,0.00021590903908140502
1905-08-05,0.10724572194950274
1905-08-06,0.19485162504973813
1905-08-07,0.2457790955264063
1905-08-08,0.2492738760455689
1905-08-09,0.2039600792381439
1905-08-10,0.11834866034242174
1905-08-11,0.007337035996888883
1905-08-12,-0.11235465778073188
1905-08-13,-0.22726652263420238
1905-08-14,-0.3285428890465651
1905-08-15,-0.4111158097915857
1905-08-16,-0.47126422196613116
1905-08-17,-0.5062811098067931
1905-08-18,-0.5144776569703063
1905-08-19,-0.4963815690308738
1905-08-20,-0.4551983903133119
1905-08-21,-0.39779793949136877
1905-08-22,-0.3332971774874449
1905-08-23,-0.27025836439605055
1905-08-24,-0.2124453648989738
1905-08-25,-0.15767184522196076
1905-08-26,-0.1001224101253868
1905-08-27,-0.03687414094634832
1905-08-28,0.02693398924757305
1905-08-29,0.07735361892220714
1905-08-30,0.09808250854853094
1905-08-31,0.0786413206885332
1905-09-01,0.01944568481616453
1905-09-02,-0.07087205965884195
1905-09-03,-0.1810347109210026
1905-09-04,-0.30076988882019395
1905-09-05,-0.419184027558685
1905-09-06,-0.5236888807799432
1905-09-07,-0.6020899366448975
1905-09-08,-0.6471413944525117
1905-09-09,-0.6568752266130934
1905-09-10,-0.6312387961591696
1905-09-11,-0.5683775214346943
1905-09-12,-0.46596856583049795
1905-09-13,-0.3250901233468907
1905-09-14,-0.15439442894487376
1905-09-15,0.028926407887442246
1905-09-16,0.20049441898458853
1905-09-17,0.3336357596907058
1905-09-18,0.4054872925100864
1905-09-19,0.4036553862614067
1905-09-20,0.3300499132434348
1905-09-21,0.20151603133982166
1905-09-22,0.04475725355256667
1905-09-23,-0.11221941325620187
1905-09-24,-0.24912183782157699
1905-09-25,-0.3569587061332808
1905-09-26,-0.4367371431541358
1905-09-27,-0.4946109854253554
1905-09-28,-0.5370722846873116
1905-09-29,-0.5663182987451147
1905-09-30,-0.5787558050379396
1905-10-01,-0.5670510387998329
1905-10-02,-0.5265194424154418
1905-10-03,-0.4613303374540235
1905-10-04,-0.38710566678320213
1905-10-05,-0.3262673429541304
1905-10-06,-0.29947720806984746
1905-10-07,-0.3172938315037683
1905-10-08,-0.3772430824917652
1905-10-09,-0.4652466263460865
1905-10-10,-0.560562558035463
1905-10-11,-0.6418288283070048
1905-10-12,-0.6940613165452867
1905-10-13,-0.7122764825039718
1905-10-14,-0.7001296471385907
1905-10-15,-0.664277705624984
1905-10-16,-0.6106324073196523
