Datetime,0
1905-04-30,-1.1131867292825028
1905-05-01,-1.101738148325476
1905-05-02,-1.0226988968640964
1905-05-03,-0.9052345635197454
1905-05-04,-0.7826234635491544
1905-05-05,-0.6847351521861054
1905-05-06,-0.6315553945484969
1905-05-07,-0.6292993541610483
1905-05-08,-0.6699175802353993
1905-05-09,-0.7338841897474362
1905-05-10,-0.7953334335887315
1905-05-11,-0.8281074424950795
1905-05-12,-0.8112114373035737
1905-05-13,-0.7325194043879657
1905-05-14,-0.5901860307054316
1905-05-15,-0.39188556507037703
1905-05-16,-0.15250944136818606
1905-05-17,0.10881867591028575
1905-05-18,0.37162863711699495
1905-05-19,0.6164026417706723
1905-05-20,0.8261609866744323
1905-05-21,0.9874864924855521
1905-05-22,1.091238938788371
1905-05-23,1.1331251861928406
1905-05-24,1.114096019674206
1905-05-25,1.0403584335811353
1905-05-26,0.9227335732504931
1905-05-27,0.7752079235990081
1905-05-28,0.6127870256042404
1905-05-29,0.4490627286283607
1905-05-30,0.2941117640143541
1905-05-31,0.15334617806812353
1905-06-01,0.02770039387098299
1905-06-02,-0.08487378113397677
1905-06-03,-0.1870845461111157
1905-06-04,-0.2799513041699399
1905-06-05,-0.36128755786246847
1905-06-06,-0.42562090531575525
1905-06-07,-0.46566298014560326
1905-06-08,-0.47487366818589344
1905-06-09,-0.45022358898339554
1905-06-10,-0.39411726444350026
1905-06-11,-0.3146684863630915
1905-06-12,-0.224059923560886
1905-06-13,-0.1353947332660183
1905-06-14,-0.059023100757714116
1905-06-15,0.00041203856628878885
1905-06-16,0.04513121789016638
1905-06-17,0.08305676140683015
1905-06-18,0.12459158517896333
1905-06-19,0.17833320654715368
1905-06-20,0.2471524435391927
1905-06-21,0.3260319403191699
1905-06-22,0.40254328964683284
1905-06-23,0.4599957104889453
1905-06-24,0.482386131528384
1905-06-25,0.4596232564723137
1905-06-26,0.39131880374766276
1905-06-27,0.2878177013349354
1905-06-28,0.16797197086700416
1905-06-29,0.05419240663475961
1905-06-30,-0.03379260436583182
1905-07-01,-0.08457617346702052
1905-07-02,-0.09834146688561553
1905-07-03,-0.08668365995364898
1905-07-04,-0.06895812200831221
1905-07-05,-0.06620607812731759
1905-07-06,-0.09447648606375315
1905-07-07,-0.1595746807415482
1905-07-08,-0.25485389951061305
1905-07-09,-0.36275129751686996
1905-07-10,-0.459638118402971
1905-07-11,-0.5225535747746006
1905-07-12,-0.5358296318456671
1905-07-13,-0.4956569078500166
1905-07-14,-0.4112696461134837
1905-07-15,-0.30244103526340055
1905-07-16,-0.1940665962134803
1905-07-17,-0.10944577874332599
1905-07-18,-0.06420883306612034
1905-07-19,-0.06259237168253186
1905-07-20,-0.09703446373395161
1905-07-21,-0.15107253890807582
1905-07-22,-0.20458476893126243
1905-07-23,-0.23979112109919404
1905-07-24,-0.24629020366633322
1905-07-25,-0.22376791694065176
1905-07-26,-0.1817424821729181
1905-07-27,-0.13657687654996462
1905-07-28,-0.10673779360202504
1905-07-29,-0.10770477098076157
1905-07-30,-0.14793604426839124
1905-07-31,-0.2269086241679999
1905-08-01,-0.335607971560268
1905-08-02,-0.4591470299876941
1905-08-03,-0.5806434651240518
1905-08-04,-0.6852184544273541
1905-08-05,-0.763048947967769
1905-08-06,-0.8107595422831865
1905-08-07,-0.8309571690135835
1905-08-08,-0.8302357377197345
1905-08-09,-0.8163656172177064
1905-08-10,-0.7955417600708067
1905-08-11,-0.7704719289652946
1905-08-12,-0.7397894010178935
1905-08-13,-0.6988689647984083
1905-08-14,-0.6417270366588596
1905-08-15,-0.5634005661002652
1905-08-16,-0.4620923966705558
1905-08-17,-0.3404598526643233
1905-08-18,-0.20567507231522097
1905-08-19,-0.06822787062784864
1905-08-20,0.06021648415452543
1905-08-21,0.16933888709898193
1905-08-22,0.2524001709131826
1905-08-23,0.3075948239236983
1905-08-24,0.33816449995681336
1905-08-25,0.3512408665187806
1905-08-26,0.3557292191340225
1905-08-27,0.35980749559148023
1905-08-28,0.36872669215389886
1905-08-29,0.3835228655760413
1905-08-30,0.401002053374513
1905-08-31,0.41500049497374886
1905-09-01,0.4185509423813398
1905-09-02,0.4063083434162951
1905-09-03,0.37649065980441526
1905-09-04,0.3317114567151695
1905-09-05,0.2783962087543247
1905-09-06,0.22490021952048606
1905-09-07,0.17885988512852463
1905-09-08,0.14458346252956195
1905-09-09,0.12132931415233632
1905-09-10,0.10310071971063849
1905-09-11,0.08015709206441778
1905-09-12,0.041920367879348545
1905-09-13,-0.019502858362631555
1905-09-14,-0.10621304302278113
1905-09-15,-0.21280491602586638
1905-09-16,-0.3266823889505647
1905-09-17,-0.4304714335700868
1905-09-18,-0.5059864228420816
1905-09-19,-0.5387217847873926
1905-09-20,-0.521641100136081
1905-09-21,-0.457192505660474
1905-09-22,-0.3569585090656072
1905-09-23,-0.23901560231089056
1905-09-24,-0.12373712261623172
1905-09-25,-0.029220745570115343
1905-09-26,0.03238202080973975
1905-09-27,0.056649055744619196
1905-09-28,0.04639381738631609
1905-09-29,0.00922111921803336
1905-09-30,-0.04592969215808219
1905-10-01,-0.11200891179420437
1905-10-02,-0.18570572310511146
1905-10-03,-0.267270454404278
1905-10-04,-0.3583847268700051
1905-10-05,-0.4588836035698074
1905-10-06,-0.5636194445774593
1905-10-07,-0.6608212180941164
1905-10-08,-0.7328969566163386
1905-10-09,-0.7598544387884729
1905-10-10,-0.7246067037419803
1905-10-11,-0.6186753853084249
1905-10-12,-0.4464669335741449
1905-10-13,-0.2265201948379771
1905-10-14,0.01111461041720895
