date,0,1,2,3,4,5,6,7,8,9,10,11,rmm1,rmm2
1974-06-01,1.484375,-11.578125,-76.02344000000001,-181.11719,82.00780999999999,-52.070312,-171.60156,-39.546875,41.757812,156.66406,-35.882812,11.6328125,1.63447,1.2030399999999999
1974-06-02,37.28125,50.289062,-132.02344,-188.33594,4.2734375,-0.3984375,-102.9375,-65.765625,-5.03125,120.32031,-59.757812,-12.4296875,1.60289,1.01512
1974-06-03,131.83594,147.64844,-159.59375,-206.09375,-30.984375,115.66406,39.3125,-9.375,-21.539062,52.414062,-29.109375,10.921875,1.51625,1.08551
1974-06-04,108.171875,139.14844,-95.35155999999999,-260.0078,-7.5078125,133.98438000000002,44.523438,-14.6328125,-12.125,36.828125,-1.2734375,4.0703125,1.50981,1.0357299999999998
1974-06-05,63.507812,100.375,-34.4375,-271.35156,1.9296875,76.92969000000001,11.53125,79.8125,14.4296875,36.648438,-20.046875,38.484375,1.5590600000000001,1.30518
1974-06-06,111.078125,149.4375,-62.492188,-191.25781,-59.671875,67.84375,-6.296875,145.07811999999998,-38.757812,40.5,-59.046875,64.78125,1.20626,1.62889
1974-06-07,151.94531,208.91406,-129.19531,-82.92969000000001,-113.38281,139.92188000000002,11.734375,156.21094,-139.36719,-71.4375,-48.460938,63.023438,0.61110097,1.7224800999999998
1974-06-08,64.94530999999999,154.74219,-113.71875,-230.78125,-96.875,147.74219,-33.445312,61.054688,-173.45311999999998,-141.97656,-93.453125,-50.96875,0.326395,1.7781799999999999
1974-06-09,-83.16405999999999,30.695312,-156.03125,-454.42188,-154.73438000000002,71.828125,-90.6875,-112.50781,-191.73438000000002,-92.078125,-185.25,-183.91406,0.09382820130000001,1.35694
1974-06-10,-166.21875,-44.820312,-161.35938000000002,-687.8281,-190.1875,46.453125,-209.07811999999998,-189.70311999999998,-216.55469,-46.71875,-173.32031,-220.67188,-0.08612629769999999,0.77547598
1974-06-11,-288.9453,-143.78906,-163.29688000000002,-1069.2188,-90.59375,-58.859375,-363.60938,-266.25,-208.39844,3.8515625,-141.63281,-282.46094,0.111394,0.389534
1974-06-12,-348.375,-231.09375,-235.11719,-964.6172,-101.828125,-162.13281,-499.53905999999995,-244.17188,-200.14844,-8.734375,-225.07812,-276.6797,0.12048900000000001,0.0138852
1974-06-13,-294.4453,-223.32812,-259.8828,-532.3672,-181.72656,-140.67969,-581.33594,-172.8125,-170.38281,-18.585938,-284.72656,-202.41406,0.0192805994,-0.21766999
1974-06-14,-280.89062,-245.83594,-227.08594,-199.67188000000002,-163.25781,-134.24219,-672.33594,-134.875,-143.32031,22.84375,-261.1875,-150.0,-0.10436,-0.38104999
1974-06-15,-246.6875,-284.46094,-164.42969,-115.78125,-88.27344000000001,-171.03906,-781.65625,-34.976562,-92.44530999999999,-29.4375,-223.15625,-112.171875,-0.18294001,-0.64534998
1974-06-16,-115.05469,-195.69531,-161.26561999999998,-36.398438,-101.625,-165.66406,-493.125,99.78125,-75.96875,-82.40625,-231.75,-22.28125,-0.23596001,-0.47106999
1974-06-17,7.59375,-43.929688,-226.75781,54.671875,-48.710938,-55.914062,-28.421875,194.49219,-141.05469,-180.71094,-174.61719,69.140625,-0.49869001,-0.48752001
1974-06-18,18.710938,40.890625,-177.69531,55.890625,58.914062,108.046875,76.921875,143.73438000000002,-120.86719,-177.29688000000002,-28.171875,48.164062,-0.56980002,-0.36398
1974-06-19,-33.109375,-12.25,-39.867188,8.46875,45.59375,42.8125,-43.515625,39.585938,-47.320312,-53.679688,4.046875,-25.867188,-0.69502997,-0.35556999
1974-06-20,-28.523438,-35.890625,-56.40625,-11.1171875,-86.07030999999999,-85.14844000000001,-62.375,45.90625,-70.0625,49.21875,-125.46875,-12.109375,-0.72915,-0.47646001
1974-06-21,46.960938,45.21875,-236.33594,103.11719000000001,-111.34375,-81.71875,77.84375,87.42969000000001,-172.22656,-10.8515625,-171.24219,90.42969000000001,-1.09443,-0.83275002
1974-06-22,59.78125,98.63280999999999,-268.08594,154.98438000000002,-77.65625,-9.4609375,197.5625,45.351562,-172.49219,-40.835938,-104.6875,97.1875,-1.09851,-0.83867002
1974-06-23,50.59375,134.50781,-156.99219,124.38281,29.773438,60.28125,170.32811999999998,-101.57030999999999,-76.328125,56.554688,-25.039062,29.320312,-1.06244,-0.50405002
1974-06-24,-34.734375,62.460938,-76.078125,79.5625,105.171875,17.125,42.875,-223.70312,-61.375,134.16406,-68.41405999999999,-55.9375,-0.88507003,-0.32444
1974-06-25,-58.679688,-22.976562,-151.03906,102.05469000000001,-16.65625,-30.898438,-64.625,-158.14061999999998,-93.96094000000001,114.296875,-105.53125,-42.929688,-0.76582003,-0.33355001
1974-06-26,10.4453125,-6.640625,-259.46094,284.64844,-107.92969,-60.992188,-5.1328125,-80.59375,-108.796875,69.109375,-125.96875,59.398438,-0.83446997,-0.41418001
1974-06-27,24.53125,29.632812,-278.8203,343.875,-30.0,-15.875,196.50781,-165.28125,-82.22655999999999,52.375,-54.5625,18.4375,-0.80129999,-0.35989001
