,0
1905-04-30,0.07271137099172272
1905-05-01,0.08120941678512257
1905-05-02,0.0879547580696944
1905-05-03,0.09845017448062816
1905-05-04,0.11185612233115112
1905-05-05,0.12244243023967986
1905-05-06,0.12283934702561825
1905-05-07,0.10664109244702363
1905-05-08,0.0693327207954632
1905-05-09,0.009141918947059
1905-05-10,-0.07076275129502894
1905-05-11,-0.1611511249674748
1905-05-12,-0.2502986157576586
1905-05-13,-0.3305529963829587
1905-05-14,-0.40124936907135483
1905-05-15,-0.46471839437000334
1905-05-16,-0.5201533418005025
1905-05-17,-0.56187846457883
1905-05-18,-0.5823925534245676
1905-05-19,-0.575817556798151
1905-05-20,-0.5390590658324633
1905-05-21,-0.4712961020949071
1905-05-22,-0.37336951524297807
1905-05-23,-0.24797257232669867
1905-05-24,-0.10013215663510187
1905-05-25,0.06351637320856636
1905-05-26,0.23685282499156074
1905-05-27,0.4157312408638352
1905-05-28,0.5969706313082638
1905-05-29,0.7756305749465445
1905-05-30,0.9427567501408933
1905-05-31,1.0851970655207914
1905-06-01,1.1884256766809747
1905-06-02,1.242337977776792
1905-06-03,1.246853355963929
1905-06-04,1.212078966609032
1905-06-05,1.1520661027545078
1905-06-06,1.0778066916109894
1905-06-07,0.9948814053332518
1905-06-08,0.9050702640536095
1905-06-09,0.8080046646382301
1905-06-10,0.7011754314689135
1905-06-11,0.5798339113147828
1905-06-12,0.4388278874869151
1905-06-13,0.27658767053551403
1905-06-14,0.0996430745493805
1905-06-15,-0.07505699614515669
1905-06-16,-0.22307262147567825
1905-06-17,-0.3212725788528451
1905-06-18,-0.35802096460050503
1905-06-19,-0.3377420073675775
1905-06-20,-0.2769230983655779
1905-06-21,-0.1956486933774786
1905-06-22,-0.11137001579621635
1905-06-23,-0.037563273351259516
1905-06-24,0.015350495053918063
1905-06-25,0.040275961883923794
1905-06-26,0.03567076412219472
1905-06-27,0.008126948894027416
1905-06-28,-0.0274645013157732
1905-06-29,-0.05255321083864248
1905-06-30,-0.05332405647417797
1905-07-01,-0.027734058012350724
1905-07-02,0.013636874427888288
1905-07-03,0.05352999849519012
1905-07-04,0.0774555804345433
1905-07-05,0.08149782762051365
1905-07-06,0.07390391311953116
1905-07-07,0.06947055794175284
1905-07-08,0.08024656888656458
1905-07-09,0.10798440292563773
1905-07-10,0.14257804071380725
1905-07-11,0.16776216782715597
1905-07-12,0.1712447894567033
1905-07-13,0.15317610127121783
1905-07-14,0.12739007143413322
1905-07-15,0.11402887076456139
1905-07-16,0.12747503933275092
1905-07-17,0.16735131840179193
1905-07-18,0.2190153895572533
1905-07-19,0.26255341484516975
1905-07-20,0.28249172667185557
1905-07-21,0.27182378698035703
1905-07-22,0.2309483271939043
1905-07-23,0.1654063980846171
1905-07-24,0.08357903640080676
1905-07-25,-0.006433465152144324
1905-07-26,-0.09938931391379831
1905-07-27,-0.19228481692300764
1905-07-28,-0.2808171659640631
1905-07-29,-0.35656826131595815
1905-07-30,-0.4077898953360186
1905-07-31,-0.42298783205468277
1905-08-01,-0.3943894408228218
1905-08-02,-0.3198449950574304
1905-08-03,-0.20429788059069137
1905-08-04,-0.06165861376040159
1905-08-05,0.08508089420927305
1905-08-06,0.20825800324348442
1905-08-07,0.28343234259405925
1905-08-08,0.29638295745057763
1905-08-09,0.24607722639279406
1905-08-10,0.14378856230766202
1905-08-11,0.009651464802202428
1905-08-12,-0.132748598699522
1905-08-13,-0.26258300569224363
1905-08-14,-0.36614132463157767
1905-08-15,-0.4374301027164536
1905-08-16,-0.47596576993656997
1905-08-17,-0.48435129042573294
1905-08-18,-0.46721721875654726
1905-08-19,-0.4313663845318568
1905-08-20,-0.38606986730973086
1905-08-21,-0.3421769187946631
1905-08-22,-0.3091683686245395
1905-08-23,-0.2909457399373607
1905-08-24,-0.28273017577344023
1905-08-25,-0.27151456830042037
1905-08-26,-0.24120914966319718
1905-08-27,-0.18114978426689682
1905-08-28,-0.09366150043876946
1905-08-29,0.004443014352233002
1905-08-30,0.088268863993909
1905-08-31,0.13546867371950128
1905-09-01,0.13405277276130234
1905-09-02,0.0828245526605413
1905-09-03,-0.01302330897511493
1905-09-04,-0.14454987950239373
1905-09-05,-0.2977630547459213
1905-09-06,-0.45307130588683137
1905-09-07,-0.5895293073741082
1905-09-08,-0.6908133818339727
1905-09-09,-0.7467984419294721
1905-09-10,-0.750138061979036
1905-09-11,-0.6937561312730429
1905-09-12,-0.5736519255056493
1905-09-13,-0.39440611209175885
1905-09-14,-0.1719454774080169
1905-09-15,0.0682323902014655
1905-09-16,0.29543232204990194
1905-09-17,0.4788698958704399
1905-09-18,0.5929355244431407
1905-09-19,0.6218767862481974
1905-09-20,0.562832812970193
1905-09-21,0.42661422058813175
1905-09-22,0.23575876676174007
1905-09-23,0.019807250060056528
1905-09-24,-0.19069862145060118
1905-09-25,-0.36952245996056915
1905-09-26,-0.49890588252136575
1905-09-27,-0.5726069319042707
1905-09-28,-0.5960309298500563
1905-09-29,-0.581479348196964
1905-09-30,-0.5403654727299795
1905-10-01,-0.4783089785177958
1905-10-02,-0.3976053507964896
1905-10-03,-0.30472919963478595
1905-10-04,-0.21507102018870422
1905-10-05,-0.14933966781418512
1905-10-06,-0.12422758097437443
1905-10-07,-0.14514227872660346
1905-10-08,-0.20548008010223978
1905-10-09,-0.2903225658615587
1905-10-10,-0.38113844771139965
1905-10-11,-0.4612120971080759
1905-10-12,-0.5214197138388805
1905-10-13,-0.5622587178519677
1905-10-14,-0.5887653977942864
1905-10-15,-0.602172157217091
