date,0,1,2,3,4,5,6,7,8,9,10,11
1946-02-05,-21.164062,-63.0,-268.875,102.99219000000001,-311.75,-80.046875,64.52344000000001,-57.234375,-271.22656,-76.3125,-318.1172,-270.8125
1946-02-06,-70.015625,-44.484375,-153.99219,-31.828125,-256.1953,-15.6171875,71.578125,-208.67188000000002,-156.69531,-77.61719000000001,-128.96875,-335.4922
1946-02-07,-176.875,-54.960938,-16.09375,-87.53905999999999,-200.57031,3.828125,4.671875,-279.29688,-101.140625,-67.88280999999999,-152.79688000000002,-396.1875
1946-02-08,-161.75,-25.445312,7.828125,51.851562,-84.875,-65.71875,-97.1875,-197.11719,-38.570312,-156.11719,-149.60156,-289.89062
1946-02-09,-79.63280999999999,12.0703125,-42.25,103.33594000000001,-71.125,-11.2421875,-38.0,-260.1328,-59.984375,-136.32031,-216.375,-182.60938000000002
1946-02-10,-73.52344000000001,70.60155999999999,-104.3125,69.92969000000001,-194.3125,59.25,118.21875,-368.33594,-123.375,-118.5,-167.13281,-195.34375
1946-02-11,-56.421875,52.132812,-92.359375,94.61719000000001,-144.4375,116.765625,231.48438,-515.7344,-113.75,-154.64844,-108.859375,-214.07812
1946-02-12,-16.320312,41.679688,-181.40625,141.40625,-165.51561999999998,116.296875,123.78906,-608.33594,-109.10156,-135.76561999999998,-95.57030999999999,-254.82812
1946-02-13,-42.234375,-37.757812,-186.44531,33.289062,-196.53906,9.84375,44.132812,-459.125,-148.4375,-146.85938000000002,-169.26561999999998,-252.57812
1946-02-14,-163.14061999999998,-64.17969000000001,-172.48438000000002,-159.74219,-127.50781,-94.578125,-13.484375,-292.125,-161.75,-139.9375,-182.92969,-301.33594
1946-02-15,-177.05469,-107.578125,-119.52344,-125.671875,-208.4375,-156.99219,-70.07030999999999,-227.3125,-146.04688000000002,-117.99219,-230.57812,-246.10156
1946-02-16,-98.96875,-26.953125,-124.5625,-73.50780999999999,-198.3125,-201.375,-59.617188,-234.70312,-93.328125,-129.02344,-189.21094,-198.85938000000002
1946-02-17,-50.882812,-47.296875,-128.60156,-133.25781,-277.15625,-137.73438000000002,-43.125,-51.296875,-80.58594000000001,-121.03906,-156.82811999999998,-76.625
1946-02-18,40.210938,33.382812,-131.64844,42.085938,-223.95312,-48.078125,22.40625,192.91406,-171.82811999999998,-119.046875,-109.421875,-18.382812
1946-02-19,51.304688,82.10155999999999,-24.703125,-3.4765625,-130.71875,41.601562,67.97655999999999,118.92969,-156.05469,-86.03905999999999,-101.00780999999999,-24.140625
1946-02-20,10.3984375,98.859375,98.234375,-51.960938,-2.453125,6.3125,95.58594000000001,53.742188,25.742188,33.976562,-66.578125,-91.890625
1946-02-21,19.507812,77.65625,69.16405999999999,-143.35156,-77.14844000000001,1.0390625,-37.757812,20.367188,101.55469000000001,101.0,-115.13281,-79.63280999999999
1946-02-22,103.61719000000001,118.49219,-17.921875,-34.65625,-140.82031,-33.210938,-28.070312,68.78905999999999,49.375,149.02344,-142.67969,-17.375
1946-02-23,100.74219000000001,150.375,-56.023438,64.13280999999999,-83.46875,39.5625,62.671875,58.023438,6.21875,117.05469,-77.21875,61.898438
1946-02-24,100.875,121.30469,60.851562,0.0,39.90625,59.367188,54.453125,-87.9375,3.078125,73.078125,11.2578125,21.1875
1946-02-25,2.0234375,82.28125,55.710938,-17.039062,55.304688,17.1875,10.28125,32.914062,-13.046875,-14.90625,-30.265625,-77.515625
1946-02-26,-62.820312,-33.6875,-16.445312,-100.0,23.710938,-29.96875,-97.83594000000001,82.578125,-71.16405999999999,-52.890625,-82.78905999999999,-112.19531
1946-02-27,-65.640625,-65.59375,-106.63281,-201.86719,115.140625,-54.101562,-171.89844,-4.9375,-127.25781,-18.890625,-55.304688,-158.86719
1946-02-28,-157.44531,-131.45311999999998,-98.85155999999999,-278.64844,13.578125,-152.21094,-201.91406,-147.63281,-120.34375,31.101562,-111.82031,-289.51562
1946-03-01,-208.23438000000002,-22.25,-74.09375,-391.35156,-128.96875,-166.29688000000002,-122.859375,-225.50781,-137.42188000000002,54.078125,-215.33594,-350.14844
1946-03-02,-204.0,-21.984375,-76.36719000000001,-401.96094,-116.515625,-136.35938000000002,-121.75,-372.5625,-76.484375,47.03125,-328.85938,-374.75
1946-03-03,-256.75,-48.648438,-64.67969000000001,-402.47656,-114.05469,-97.40625,-225.57031,-290.78125,-33.53125,78.96094000000001,-334.3828,-449.33594000000005
1946-03-04,-218.47656,-90.25780999999999,-56.023438,-388.91406,-243.60156,-111.42969,-223.32031,-200.17188000000002,-91.578125,-38.132812,-276.91406,-390.89844
1946-03-05,-130.17188000000002,-107.80469,-235.41406,-470.2578,-202.14061999999998,-144.4375,-191.0,-120.71875,-198.60938000000002,-137.25,-220.46094,-300.4297
1946-03-06,-124.85156,-21.273438,-242.83594,-588.5156,-158.67969,-153.42188000000002,-129.60156,-141.42969,-250.63281,-88.40625,-163.01561999999998,-287.9375
1946-03-07,-215.5,-65.67969000000001,-196.3125,-696.6875,-107.234375,-183.39061999999998,-173.11719,-110.28906,-171.64844,-52.585938,-196.58594,-300.42188
1946-03-08,-145.125,-115.02344,-207.82811999999998,-550.7656,-184.78906,-147.34375,-262.54688,51.695312,-155.65625,-33.8125,-246.17188,-213.86719
1946-03-09,-67.71875,-26.289062,-209.39061999999998,-194.75,-270.35938,-0.28125,-126.88281,216.53906,-136.66406,-25.070312,-237.77344,-14.2890625
1946-03-10,0.7109375,111.50781,-114.00781,13.359375,-148.94531,124.796875,21.875,162.25,-101.66405999999999,-53.367188,-155.40625,-35.679688
1946-03-11,28.171875,85.375,51.328125,-121.44531,43.460938,77.890625,-67.27344000000001,121.82031,-8.6640625,80.28905999999999,-98.0625,-58.03125
1946-03-12,-43.34375,-40.6875,46.601562,-56.148438,118.84375,-49.0,-127.30469,213.25781,40.34375,132.89844,-246.74219,-81.359375
1946-03-13,38.171875,-30.679688,-138.17969,-63.765625,-62.796875,-84.890625,-144.23438000000002,252.57812,-73.64844000000001,103.453125,-259.46094,-26.648438
1946-03-14,65.71875,-112.60156,-191.02344,-61.28125,-83.453125,-33.765625,-90.046875,177.77344,-131.64844,57.96875,-196.21094,-18.90625
1946-03-15,-124.703125,-137.46094,-127.92969,-232.70312,-21.140625,-42.632812,-84.734375,5.859375,-80.64844000000001,14.421875,-121.0,-172.125
1946-03-16,-181.09375,-129.25,25.09375,-362.03125,-55.851562,-84.5,-260.3047,-60.15625,-32.648438,-58.171875,-177.82811999999998,-276.3125
1946-03-17,-173.46094,-134.97656,22.054688,-307.2578,-152.59375,-73.359375,-351.7422,-38.28125,-19.65625,-75.82030999999999,-158.69531,-240.46875
1946-03-18,-113.796875,-153.64061999999998,-91.0625,-348.39062,-246.36719,-40.210938,-297.04688,35.5,-77.66405999999999,-106.53125,-132.61719,-210.58594
1946-03-19,6.8984375,-80.234375,-140.25,-118.421875,-202.17188000000002,-57.070312,-166.21094,76.19530999999999,-133.6875,-101.30469000000001,-94.59375,-36.664062
1946-03-20,119.61719,66.22655999999999,-62.507812,195.64844,-135.01561999999998,49.070312,42.765625,81.80469000000001,-131.71094,-109.140625,-51.617188,88.28125
1946-03-21,88.36719000000001,60.742188,67.14844000000001,75.82030999999999,-0.8984375,118.21094,-37.109375,21.335938,4.2421875,-126.03125,-61.703125,60.273438
1946-03-22,1.140625,9.3203125,88.72655999999999,76.08594000000001,-72.82030999999999,188.34375,-75.828125,-7.203125,-24.804688,-60.992188,-31.851562,57.289062
1946-03-23,-28.0625,48.953125,9.2265625,-24.546875,-62.78125,258.46094,-98.39844000000001,-107.8125,-15.875,-68.015625,-7.0703125,12.3359375
1946-03-24,58.757812,59.632812,149.63281,14.921875,17.210938,207.57811999999998,-139.80469,-192.47656,48.039062,-62.101562,37.648438,34.421875
1946-03-25,74.60155999999999,4.359375,153.95311999999998,28.492188,111.15625,106.67969,-133.04688000000002,10.8046875,86.9375,-96.25780999999999,60.289062,88.53905999999999
1946-03-26,130.46875,26.132812,49.179688,154.15625,68.046875,126.765625,37.875,192.03125,-17.179688,-105.484375,-32.148438,171.67969
1946-03-27,172.35156,114.953125,-84.67969000000001,216.92969,1.890625,147.84375,146.96094,223.21875,-105.328125,-80.77344000000001,-50.664062,213.85156
1946-03-28,190.25781,182.80469,-111.640625,206.79688000000002,-43.3125,200.89061999999998,160.22656,282.3672,-129.49219,-70.13280999999999,-64.265625,201.05469
1946-03-29,221.17969,216.70312,-121.69531,167.76561999999998,-39.578125,187.92188000000002,173.65625,271.48438,-50.6875,7.4453125,-122.96094,153.28125
1946-03-30,172.10938000000002,179.625,-83.85155999999999,128.82811999999998,-15.8984375,137.92969,88.27344000000001,203.57811999999998,-103.90625,46.945312,-110.74219,70.53125
1946-03-31,171.05469,133.57031,10.890625,127.984375,37.71875,38.914062,109.0625,196.64844,-15.15625,144.38281,-164.63281,51.8125
