,rmm1
1906-04-17,-0.03660848
1906-04-18,-0.08093214
1906-04-19,-0.031114006
1906-04-20,-0.05217632
1906-04-21,-0.12307322
1906-04-22,-0.2664535
1906-04-23,-0.3926142
1906-04-24,-0.34651116
1906-04-25,-0.18081005
1906-04-26,-0.01678686
1906-04-27,0.08593525
1906-04-28,0.123372644
1906-04-29,0.19177233
1906-04-30,0.21230535
1906-05-01,0.2194144
1906-05-02,0.17252354
1906-05-03,0.13802251
1906-05-04,0.1962166
1906-05-05,0.19925113
1906-05-06,0.17669974
1906-05-07,0.18257861
1906-05-08,0.14189385
1906-05-09,0.06335301
1906-05-10,-0.030168423
1906-05-11,-0.23714547
1906-05-12,-0.46101344
1906-05-13,-0.4853783
1906-05-14,-0.4086944
1906-05-15,-0.32321694
1906-05-16,-0.2447282
1906-05-17,-0.17525668
1906-05-18,-0.13385022
1906-05-19,-0.116788894
1906-05-20,-0.003309738
1906-05-21,0.11552402
1906-05-22,0.21668765
1906-05-23,0.21771957
1906-05-24,0.07920941
1906-05-25,-0.23552425
1906-05-26,-0.46726707
1906-05-27,-0.55154794
1906-05-28,-0.5534735
1906-05-29,-0.45994854
1906-05-30,-0.25948328
1906-05-31,0.045942187
1906-06-01,0.2868881
1906-06-02,0.36126143
1906-06-03,0.37078515
1906-06-04,0.19260272
1906-06-05,-0.09135476
1906-06-06,-0.51422834
1906-06-07,-0.8165277
1906-06-08,-1.0429692
1906-06-09,-1.1828195
1906-06-10,-1.2238189
1906-06-11,-1.2149711
1906-06-12,-1.1718184
1906-06-13,-1.1316172
1906-06-14,-0.9885758
1906-06-15,-0.7523345
1906-06-16,-0.63765645
1906-06-17,-0.6593702
1906-06-18,-0.749847
1906-06-19,-0.76140773
1906-06-20,-0.7072449
1906-06-21,-0.59718865
1906-06-22,-0.50646454
1906-06-23,-0.36586007
1906-06-24,-0.36656553
1906-06-25,-0.39824346
1906-06-26,-0.43775114
1906-06-27,-0.41206217
1906-06-28,-0.35212597
1906-06-29,-0.22947073
1906-06-30,-0.03872601
1906-07-01,0.036428332
1906-07-02,0.078340545
1906-07-03,0.1261702
1906-07-04,0.21849771
1906-07-05,0.1581749
1906-07-06,0.06714913
1906-07-07,0.011688856
1906-07-08,-0.09846154
1906-07-09,-0.33378395
1906-07-10,-0.44915694
1906-07-11,-0.50235486
1906-07-12,-0.58831346
1906-07-13,-0.6167681
1906-07-14,-0.64651763
1906-07-15,-0.62525916
1906-07-16,-0.5349747
1906-07-17,-0.38273278
1906-07-18,-0.18191734
1906-07-19,0.1356559
1906-07-20,0.41663742
1906-07-21,0.5834917
1906-07-22,0.720412
1906-07-23,0.85695016
1906-07-24,0.9220258
1906-07-25,0.86217034
1906-07-26,0.7417066
1906-07-27,0.64488137
1906-07-28,0.49515924
1906-07-29,0.2871454
1906-07-30,0.15081915
1906-07-31,0.13204797
1906-08-01,0.094137974
1906-08-02,0.027601937
1906-08-03,0.02520839
1906-08-04,-0.0027302336
1906-08-05,-0.10186093
1906-08-06,-0.15470745
1906-08-07,-0.26107872
1906-08-08,-0.3476796
1906-08-09,-0.38266695
1906-08-10,-0.3823944
1906-08-11,-0.3234998
1906-08-12,-0.34421298
1906-08-13,-0.4376396
1906-08-14,-0.5676037
1906-08-15,-0.6463257
1906-08-16,-0.65812576
1906-08-17,-0.63016677
1906-08-18,-0.6420794
1906-08-19,-0.5329881
1906-08-20,-0.43591398
1906-08-21,-0.3210743
1906-08-22,-0.21551187
1906-08-23,-0.06327497
1906-08-24,0.018557137
1906-08-25,0.14812626
1906-08-26,0.35778964
1906-08-27,0.4540114
1906-08-28,0.4898572
1906-08-29,0.4977371
1906-08-30,0.42740119
1906-08-31,0.44157717
1906-09-01,0.49559143
1906-09-02,0.59263337
1906-09-03,0.5767884
1906-09-04,0.4980981
1906-09-05,0.48332545
1906-09-06,0.46062964
1906-09-07,0.47638863
1906-09-08,0.48407298
1906-09-09,0.4680685
1906-09-10,0.4584723
1906-09-11,0.48207217
1906-09-12,0.45753786
1906-09-13,0.36225867
1906-09-14,0.34094808
1906-09-15,0.286463
1906-09-16,0.17190905
1906-09-17,0.011094524
1906-09-18,0.024036987
1906-09-19,0.10740435
1906-09-20,0.1810181
1906-09-21,0.35982135
1906-09-22,0.5574029
1906-09-23,0.5659529
1906-09-24,0.5619827
1906-09-25,0.42590877
1906-09-26,0.28057715
1906-09-27,0.25948578
1906-09-28,0.2097119
1906-09-29,0.10318658
1906-09-30,0.044979252
1906-10-01,0.018448295
1906-10-02,-0.08645376
1906-10-03,-0.16719685
1906-10-04,-0.255506
1906-10-05,-0.34164724
1906-10-06,-0.38344947
1906-10-07,-0.35629675
1906-10-08,-0.3009465
1906-10-09,-0.25839132
1906-10-10,-0.24544944
1906-10-11,-0.34800932
1906-10-12,-0.5478405
1906-10-13,-0.74007523
1906-10-14,-0.97182447
1906-10-15,-1.0380096
1906-10-16,-1.0276037
1906-10-17,-1.0543046
1906-10-18,-1.0395801
1906-10-19,-1.0077968
1906-10-20,-0.8479934
1906-10-21,-0.6000908
1906-10-22,-0.50686014
1906-10-23,-0.43569353
1906-10-24,-0.0701942
1906-10-25,0.31843993
1906-10-26,0.6795936
1906-10-27,0.9859614
1906-10-28,1.3951497
1906-10-29,1.618332
1906-10-30,1.7327659
1906-10-31,1.697904
1906-11-01,1.4529467
1906-11-02,1.0926363
1906-11-03,0.6276032
1906-11-04,0.28926098
1906-11-05,0.093921036
1906-11-06,0.110704586
1906-11-07,0.052915536
1906-11-08,-0.031213509
1906-11-09,-0.104470596
1906-11-10,-0.07035647
1906-11-11,-0.07349915
1906-11-12,-0.098244965
1906-11-13,-0.24500008
1906-11-14,-0.5162835
1906-11-15,-0.7187418
1906-11-16,-0.8249341
1906-11-17,-0.9778801
1906-11-18,-1.0297563
1906-11-19,-0.9421124
1906-11-20,-0.86183417
1906-11-21,-0.64361703
1906-11-22,-0.36965027
1906-11-23,-0.15430519
1906-11-24,0.045628592
1906-11-25,0.098514974
1906-11-26,0.028793024
1906-11-27,0.05099629
1906-11-28,0.010964394
1906-11-29,-0.20555434
1906-11-30,-0.33327308
1906-12-01,-0.42527556
1906-12-02,-0.53687894
1906-12-03,-0.63091815
1906-12-04,-0.6906114
1906-12-05,-0.725512
1906-12-06,-0.7504416
1906-12-07,-0.6946247
1906-12-08,-0.5830042
1906-12-09,-0.46079972
1906-12-10,-0.37630722
1906-12-11,-0.26275665
1906-12-12,-0.15511514
1906-12-13,0.018301683
1906-12-14,0.27556014
1906-12-15,0.49724987
1906-12-16,0.6019354
1906-12-17,0.63941216
1906-12-18,0.779333
1906-12-19,0.84535277
1906-12-20,0.7448488
1906-12-21,0.55964077
1906-12-22,0.37303093
1906-12-23,0.32110292
1906-12-24,0.42428198
1906-12-25,0.5590443
1906-12-26,0.5833144
1906-12-27,0.60039556
1906-12-28,0.56401545
1906-12-29,0.50998884
1906-12-30,0.41764998
1906-12-31,0.32543108
1907-01-01,0.2664823
1907-01-02,0.13871236
1907-01-03,0.006793378
1907-01-04,-0.039065972
1907-01-05,0.0030959304
1907-01-06,0.09570237
1907-01-07,0.2154222
1907-01-08,0.2707965
1907-01-09,0.2769503
1907-01-10,0.2553758
1907-01-11,0.20595185
1907-01-12,0.1649337
1907-01-13,0.18933068
1907-01-14,0.2531043
1907-01-15,0.34657922
1907-01-16,0.43468046
1907-01-17,0.41797236
1907-01-18,0.36570668
1907-01-19,0.36625892
1907-01-20,0.37652114
1907-01-21,0.33238813
1907-01-22,0.36283484
1907-01-23,0.40149897
1907-01-24,0.5194745
1907-01-25,0.5835445
1907-01-26,0.48775056
1907-01-27,0.24021725
1907-01-28,0.101863235
1907-01-29,0.019910086
1907-01-30,-0.040913433
1907-01-31,-0.18053837
1907-02-01,-0.31153247
1907-02-02,-0.43622038
1907-02-03,-0.5992593
1907-02-04,-0.6773914
1907-02-05,-0.5826733
1907-02-06,-0.57615626
1907-02-07,-0.5647425
1907-02-08,-0.5023971
1907-02-09,-0.39966163
1907-02-10,-0.29006416
1907-02-11,-0.18117903
1907-02-12,0.028264811
1907-02-13,0.1386387
1907-02-14,0.12171577
1907-02-15,0.06430342
1907-02-16,-0.021956114
1907-02-17,-0.0463309
1907-02-18,-0.087174654
1907-02-19,-0.14473532
1907-02-20,-0.23738514
1907-02-21,-0.2898698
1907-02-22,-0.30666286
1907-02-23,-0.24626176
1907-02-24,-0.15116815
1907-02-25,-0.056009695
1907-02-26,-0.06086471
1907-02-27,-0.05724123
1907-02-28,-0.008103196
1907-03-01,0.0052523203
1907-03-02,0.043366477
1907-03-03,0.05805035
1907-03-04,0.037582945
1907-03-05,-0.008019991
1907-03-06,0.038276143
1907-03-07,0.19685532
1907-03-08,0.32634774
1907-03-09,0.45232806
1907-03-10,0.43687078
1907-03-11,0.54866135
1907-03-12,0.52066314
1907-03-13,0.39924106
1907-03-14,0.22865167
1907-03-15,0.119080484
1907-03-16,-0.31144264
1907-03-17,-0.59729916
1907-03-18,-0.42393523
1907-03-19,-0.2489974
1907-03-20,-0.0965869
1907-03-21,-0.023792537
1907-03-22,-0.09004647
1907-03-23,-0.20501576
1907-03-24,-0.16869293
1907-03-25,-0.17420697
1907-03-26,-0.2802523
1907-03-27,-0.47774875
1907-03-28,-0.61966765
1907-03-29,-0.7414253
1907-03-30,-0.8432509
1907-03-31,-0.8847251
1907-04-01,-0.8829737
1907-04-02,-0.77272105
1907-04-03,-0.6846175
1907-04-04,-0.7281983
1907-04-05,-0.8781971
1907-04-06,-1.02943
1907-04-07,-1.2146182
1907-04-08,-1.2570871
1907-04-09,-1.3694293
1907-04-10,-1.3264409
1907-04-11,-1.1268344
1907-04-12,-0.85496396
1907-04-13,-0.4632588
1907-04-14,-0.21950173
1907-04-15,-0.04805219
1907-04-16,0.017965509
1907-04-17,0.022451187
1907-04-18,0.03764941
1907-04-19,-0.0078053493
1907-04-20,-0.054961897
1907-04-21,-0.0965628
1907-04-22,-0.14131196
1907-04-23,-0.0852705
1907-04-24,-0.05123485
1907-04-25,-0.055715628
1907-04-26,-0.011554608
1907-04-27,0.05591295
1907-04-28,0.08753307
1907-04-29,0.19506258
1907-04-30,0.22767113
1907-05-01,0.20118809
1907-05-02,0.15682118
1907-05-03,0.06688427
1907-05-04,-0.12278874
1907-05-05,-0.40896302
1907-05-06,-0.54767615
1907-05-07,-0.71592516
1907-05-08,-0.8278196
1907-05-09,-0.8392743
1907-05-10,-0.7937688
1907-05-11,-0.6869293
1907-05-12,-0.50852764
1907-05-13,-0.20605929
1907-05-14,0.04232843
1907-05-15,0.2575704
1907-05-16,0.34261236
1907-05-17,0.3728471
1907-05-18,0.36589512
1907-05-19,0.2665122
1907-05-20,0.120139904
1907-05-21,0.041207783
1907-05-22,-0.038267903
1907-05-23,-0.12876675
1907-05-24,-0.30255172
1907-05-25,-0.41051152
1907-05-26,-0.45886183
1907-05-27,-0.48623267
1907-05-28,-0.43976668
1907-05-29,-0.35236028
1907-05-30,-0.29873064
1907-05-31,-0.19280922
1907-06-01,-0.055987798
1907-06-02,0.26316622
1907-06-03,0.47057417
1907-06-04,0.5187515
1907-06-05,0.7040285
1907-06-06,0.96370894
1907-06-07,1.1811315
1907-06-08,1.145338
1907-06-09,0.9582105
1907-06-10,0.7730508
1907-06-11,0.64567256
1907-06-12,0.5655618
1907-06-13,0.41521558
1907-06-14,0.3480939
1907-06-15,0.37180927
1907-06-16,0.46783233
1907-06-17,0.39882952
1907-06-18,0.1360301
1907-06-19,8.0617145e-05
1907-06-20,-0.04927665
1907-06-21,0.00039269403
1907-06-22,0.04088173
1907-06-23,0.16615255
1907-06-24,0.32030752
1907-06-25,0.43928817
1907-06-26,0.58275783
1907-06-27,0.56534076
1907-06-28,0.5396309
1907-06-29,0.56244004
1907-06-30,0.5619408
1907-07-01,0.49846366
1907-07-02,0.4493212
1907-07-03,0.45241347
1907-07-04,0.4235706
1907-07-05,0.4206921
1907-07-06,0.41786715
1907-07-07,0.46978062
1907-07-08,0.5320438
1907-07-09,0.55054295
1907-07-10,0.54785883
1907-07-11,0.56349623
1907-07-12,0.5694189
1907-07-13,0.5722716
1907-07-14,0.50192195
1907-07-15,0.50328
1907-07-16,0.4918991
1907-07-17,0.5247439
1907-07-18,0.5874762
1907-07-19,0.54687077
1907-07-20,0.593197
1907-07-21,0.60405093
1907-07-22,0.61945355
1907-07-23,0.6146784
1907-07-24,0.6111835
1907-07-25,0.5598776
1907-07-26,0.54695374
1907-07-27,0.56629014
1907-07-28,0.6047759
1907-07-29,0.63411486
1907-07-30,0.6570666
1907-07-31,0.5722376
1907-08-01,0.46812132
1907-08-02,0.33649912
1907-08-03,0.25858462
1907-08-04,0.20890403
1907-08-05,0.26261538
1907-08-06,0.336799
1907-08-07,0.34309867
1907-08-08,0.32634518
1907-08-09,0.26285997
1907-08-10,0.13910897
1907-08-11,0.059464335
1907-08-12,0.031287394
1907-08-13,-0.02751709
1907-08-14,-0.11137886
1907-08-15,-0.14803061
1907-08-16,-0.10433482
1907-08-17,-0.010734675
1907-08-18,0.1995536
1907-08-19,0.37007904
1907-08-20,0.46295115
1907-08-21,0.6056906
1907-08-22,0.6590506
1907-08-23,0.6288357
1907-08-24,0.46715626
1907-08-25,0.30406478
1907-08-26,0.155962
1907-08-27,0.10764586
1907-08-28,0.067173444
1907-08-29,0.0143423695
1907-08-30,0.03437358
1907-08-31,0.07472275
1907-09-01,0.15366855
1907-09-02,0.25558445
1907-09-03,0.4776837
1907-09-04,0.66891134
1907-09-05,0.7421653
1907-09-06,0.75055236
1907-09-07,0.72338307
1907-09-08,0.6674078
1907-09-09,0.6017369
1907-09-10,0.46964535
1907-09-11,0.33085498
1907-09-12,0.18328555
1907-09-13,0.054972738
1907-09-14,0.04358211
1907-09-15,-0.016014138
1907-09-16,-0.10027588
1907-09-17,-0.25985688
1907-09-18,-0.3556468
1907-09-19,-0.42082554
1907-09-20,-0.48064366
1907-09-21,-0.50375324
1907-09-22,-0.47265068
1907-09-23,-0.39172825
1907-09-24,-0.27416423
1907-09-25,-0.21827404
1907-09-26,-0.2662321
1907-09-27,-0.40533122
1907-09-28,-0.4895489
1907-09-29,-0.49882296
1907-09-30,-0.4474341
1907-10-01,-0.32031152
1907-10-02,-0.20709245
1907-10-03,-0.16276188
1907-10-04,-0.0896067
1907-10-05,-0.01291508
1907-10-06,0.0858546
1907-10-07,0.18832403
1907-10-08,0.27669287
1907-10-09,0.2905599
1907-10-10,0.3474665
1907-10-11,0.42749584
1907-10-12,0.60491604
1907-10-13,0.79946744
1907-10-14,1.0020224
1907-10-15,1.1463504
1907-10-16,1.1706595
1907-10-17,1.0183312
1907-10-18,0.80091166
1907-10-19,0.46788126
1907-10-20,0.3022662
1907-10-21,0.16507591
1907-10-22,0.037041128
1907-10-23,-0.016307766
1907-10-24,-0.0709437
1907-10-25,-0.082902655
1907-10-26,-0.09549435
1907-10-27,-0.10200143
1907-10-28,-0.10235791
1907-10-29,-0.10740861
1907-10-30,-0.1164688
1907-10-31,-0.15029438
1907-11-01,-0.20161444
1907-11-02,-0.30540392
1907-11-03,-0.38353842
1907-11-04,-0.5215659
1907-11-05,-0.52512145
1907-11-06,-0.45458445
1907-11-07,-0.4567496
1907-11-08,-0.43712017
1907-11-09,-0.40591124
1907-11-10,-0.29401463
1907-11-11,-0.057859123
1907-11-12,0.2176267
1907-11-13,0.4087409
1907-11-14,0.45591488
1907-11-15,0.4620616
1907-11-16,0.38127705
1907-11-17,0.27192447
1907-11-18,0.15982567
1907-11-19,0.09108654
1907-11-20,0.07365149
1907-11-21,0.0411585
1907-11-22,0.07051026
1907-11-23,0.16225004
1907-11-24,0.25145894
1907-11-25,0.30218315
1907-11-26,0.3317409
1907-11-27,0.3991487
1907-11-28,0.44504333
1907-11-29,0.4619592
1907-11-30,0.38054135
1907-12-01,0.26761773
1907-12-02,0.13136484
1907-12-03,0.06167406
1907-12-04,0.0082564335
1907-12-05,-0.015811851
1907-12-06,-0.14368881
1907-12-07,-0.29427305
1907-12-08,-0.5843683
1907-12-09,-0.8290036
1907-12-10,-0.9721029
1907-12-11,-1.0146518
1907-12-12,-1.0331347
1907-12-13,-1.0369339
1907-12-14,-0.9248005
1907-12-15,-0.7940941
1907-12-16,-0.6576646
1907-12-17,-0.52929366
1907-12-18,-0.40675595
1907-12-19,-0.41043976
1907-12-20,-0.38948277
1907-12-21,-0.39188197
1907-12-22,-0.39514676
1907-12-23,-0.43183628
1907-12-24,-0.46758643
1907-12-25,-0.48412982
1907-12-26,-0.2427627
1907-12-27,-0.17113467
1907-12-28,-0.018110087
1907-12-29,0.051829614
1907-12-30,0.012473738
1907-12-31,-0.10334163
1908-01-01,-0.21090083
1908-01-02,-0.27864462
1908-01-03,-0.31314048
1908-01-04,-0.4208623
1908-01-05,-0.57439303
1908-01-06,-0.7816113
1908-01-07,-0.92817545
1908-01-08,-1.108981
1908-01-09,-1.2008743
1908-01-10,-1.3020649
1908-01-11,-1.2185338
1908-01-12,-1.0882697
1908-01-13,-0.82840675
1908-01-14,-0.62615466
1908-01-15,-0.552794
1908-01-16,-0.40906152
1908-01-17,-0.25307894
1908-01-18,-0.10116622
1908-01-19,-0.009738347
1908-01-20,0.032312013
1908-01-21,0.017076176
1908-01-22,-0.05985848
1908-01-23,-0.13486044
1908-01-24,-0.21013387
1908-01-25,-0.349639
1908-01-26,-0.5179293
1908-01-27,-0.7644148
1908-01-28,-0.9215126
1908-01-29,-1.061304
1908-01-30,-1.016645
1908-01-31,-0.8953506
1908-02-01,-0.7190153
1908-02-02,-0.4159567
1908-02-03,-0.1830287
1908-02-04,-0.091404796
1908-02-05,-0.0422592
1908-02-06,-0.11229651
1908-02-07,-0.15725279
1908-02-08,-0.14624532
1908-02-09,-0.120808214
1908-02-10,-0.09292709
1908-02-11,-0.07538028
1908-02-12,-0.07394696
1908-02-13,-0.065129675
1908-02-14,0.000284018
1908-02-15,0.20320198
1908-02-16,0.25240585
1908-02-17,0.17108813
1908-02-18,0.10582179
1908-02-19,0.087031126
1908-02-20,0.13744509
1908-02-21,0.12658566
1908-02-22,0.048589036
1908-02-23,0.008442419
1908-02-24,-0.08351081
1908-02-25,-0.1645003
1908-02-26,-0.013619585
1908-02-27,0.1632967
1908-02-28,0.26852703
1908-02-29,0.32174087
1908-03-01,0.2997547
1908-03-02,0.24627154
1908-03-03,0.26666248
