,rmm1
1905-05-01,-0.32852563
1905-05-02,-0.4066517
1905-05-03,-0.41050717
1905-05-04,-0.46870646
1905-05-05,-0.5225572
1905-05-06,-0.56115216
1905-05-07,-0.6842704
1905-05-08,-0.7778274
1905-05-09,-0.8093653
1905-05-10,-0.77471817
1905-05-11,-0.6592177
1905-05-12,-0.49009416
1905-05-13,-0.2530906
1905-05-14,-0.05040195
1905-05-15,0.14881708
1905-05-16,0.2846571
1905-05-17,0.36473945
1905-05-18,0.4910492
1905-05-19,0.6021082
1905-05-20,0.6600618
1905-05-21,0.6890466
1905-05-22,0.73507273
1905-05-23,0.79680085
1905-05-24,0.8111538
1905-05-25,0.7367172
1905-05-26,0.4619966
1905-05-27,0.090711445
1905-05-28,-0.22406833
1905-05-29,-0.5030588
1905-05-30,-0.7573824
1905-05-31,-0.90114856
1905-06-01,-0.8926456
1905-06-02,-0.73313856
1905-06-03,-0.61424553
1905-06-04,-0.5135005
1905-06-05,-0.47994196
1905-06-06,-0.45157358
1905-06-07,-0.3493442
1905-06-08,-0.3141725
1905-06-09,-0.2771919
1905-06-10,-0.16301815
1905-06-11,-0.07802774
1905-06-12,-0.059499122
1905-06-13,-0.011207838
1905-06-14,-0.0010907948
1905-06-15,-0.06616047
1905-06-16,-0.09972634
1905-06-17,-0.024515042
1905-06-18,0.09647891
1905-06-19,0.22362569
1905-06-20,0.3235202
1905-06-21,0.43547907
1905-06-22,0.4659487
1905-06-23,0.4418389
1905-06-24,0.46557865
1905-06-25,0.39554766
1905-06-26,0.31457558
1905-06-27,0.21913405
1905-06-28,0.07970178
1905-06-29,-0.042066753
1905-06-30,-0.11177836
1905-07-01,-0.144917
1905-07-02,-0.14554192
1905-07-03,-0.059417643
1905-07-04,0.07064941
1905-07-05,0.08190947
1905-07-06,0.030179834
1905-07-07,-0.13809171
1905-07-08,-0.29403892
1905-07-09,-0.4569839
1905-07-10,-0.6042601
1905-07-11,-0.6845612
1905-07-12,-0.66887283
1905-07-13,-0.5666001
1905-07-14,-0.4530496
1905-07-15,-0.27697897
1905-07-16,-0.122949064
1905-07-17,-0.039422862
1905-07-18,-0.02534205
1905-07-19,-0.030205315
1905-07-20,-0.053417705
1905-07-21,-0.08054806
1905-07-22,-0.13390957
1905-07-23,-0.19390589
1905-07-24,-0.21638681
1905-07-25,-0.2500664
1905-07-26,-0.24800669
1905-07-27,-0.22857888
1905-07-28,-0.22059502
1905-07-29,-0.2131526
1905-07-30,-0.27025282
1905-07-31,-0.3858855
1905-08-01,-0.5008666
1905-08-02,-0.5914502
1905-08-03,-0.64143336
1905-08-04,-0.68471456
1905-08-05,-0.6861625
1905-08-06,-0.70727396
1905-08-07,-0.6102822
1905-08-08,-0.5185938
1905-08-09,-0.37954992
1905-08-10,-0.24242784
1905-08-11,-0.10981129
1905-08-12,-0.033604413
1905-08-13,0.02958147
1905-08-14,0.078858785
1905-08-15,0.09680726
1905-08-16,0.080612734
1905-08-17,0.12008591
1905-08-18,0.15140645
1905-08-19,0.18550983
1905-08-20,0.24411088
1905-08-21,0.24805985
1905-08-22,0.2629168
1905-08-23,0.25128102
1905-08-24,0.23482102
1905-08-25,0.19321103
1905-08-26,0.07850123
1905-08-27,0.05148545
1905-08-28,0.07505484
1905-08-29,0.1749954
1905-08-30,0.29705498
1905-08-31,0.44691095
1905-09-01,0.61969805
1905-09-02,0.73750293
1905-09-03,0.8541888
1905-09-04,0.9903467
1905-09-05,1.0249933
1905-09-06,0.95091224
1905-09-07,0.8116894
1905-09-08,0.6488341
1905-09-09,0.420082
1905-09-10,0.19925132
1905-09-11,0.023533529
1905-09-12,-0.1076469
1905-09-13,-0.16016807
1905-09-14,-0.24634762
1905-09-15,-0.2647319
1905-09-16,-0.27660212
1905-09-17,-0.26518443
1905-09-18,-0.32039708
1905-09-19,-0.3568527
1905-09-20,-0.22895518
1905-09-21,-0.023674505
1905-09-22,0.3820807
1905-09-23,0.49905768
1905-09-24,0.47274196
1905-09-25,0.45593873
1905-09-26,0.3592433
1905-09-27,0.2517655
1905-09-28,0.17837848
1905-09-29,0.048186816
1905-09-30,-0.032920912
1905-10-01,-0.030339474
1905-10-02,-0.050609954
1905-10-03,-0.17496707
1905-10-04,-0.2932136
1905-10-05,-0.41001722
1905-10-06,-0.48446086
1905-10-07,-0.5131149
1905-10-08,-0.37542805
1905-10-09,-0.2838187
1905-10-10,-0.18407354
1905-10-11,-0.007277919
1905-10-12,0.1136814
1905-10-13,0.23579337
1905-10-14,0.4051469
1905-10-15,0.57302535
1905-10-16,0.64747405
1905-10-17,0.73930705
1905-10-18,0.8917434
1905-10-19,1.0040073
1905-10-20,1.1371477
1905-10-21,1.2204013
1905-10-22,1.3106877
1905-10-23,1.5280452
1905-10-24,1.8835533
1905-10-25,2.1867828
1905-10-26,2.272073
1905-10-27,2.0992382
1905-10-28,1.7345892
1905-10-29,1.3242712
1905-10-30,1.0504787
1905-10-31,0.8001525
1905-11-01,0.44704393
1905-11-02,0.09904347
1905-11-03,-0.13801448
1905-11-04,-0.27573314
1905-11-05,-0.2823946
1905-11-06,-0.26701647
1905-11-07,-0.27887848
1905-11-08,-0.35375535
1905-11-09,-0.4399884
1905-11-10,-0.52527905
1905-11-11,-0.6046294
1905-11-12,-0.7118491
1905-11-13,-0.77512705
1905-11-14,-0.8495647
1905-11-15,-0.839134
1905-11-16,-0.80446655
1905-11-17,-0.72164816
1905-11-18,-0.617975
1905-11-19,-0.30357197
1905-11-20,-0.06136179
1905-11-21,0.06579074
1905-11-22,0.15142672
1905-11-23,0.19531366
1905-11-24,0.15322007
1905-11-25,0.09012366
1905-11-26,0.012060786
1905-11-27,-0.03982372
1905-11-28,-0.16664499
1905-11-29,-0.29941133
1905-11-30,-0.39756748
1905-12-01,-0.33143398
1905-12-02,-0.14468984
1905-12-03,-0.010346685
1905-12-04,0.10923279
1905-12-05,0.19487004
1905-12-06,0.29751995
1905-12-07,0.32722673
1905-12-08,0.36977682
1905-12-09,0.42187205
1905-12-10,0.3935583
1905-12-11,0.32196563
1905-12-12,0.3116151
1905-12-13,0.37129134
1905-12-14,0.40182456
1905-12-15,0.4871718
1905-12-16,0.54302096
1905-12-17,0.49702471
1905-12-18,0.2940612
1905-12-19,0.16983256
1905-12-20,0.15932484
1905-12-21,0.220872
1905-12-22,0.34122488
1905-12-23,0.5160832
1905-12-24,0.65120065
1905-12-25,0.7037728
1905-12-26,0.76799464
1905-12-27,0.8529623
1905-12-28,0.93181014
1905-12-29,0.89827156
1905-12-30,0.8210043
1905-12-31,0.63394517
1906-01-01,0.46081704
1906-01-02,0.40078047
1906-01-03,0.46713734
1906-01-04,0.62697005
1906-01-05,0.90289474
1906-01-06,1.1806275
1906-01-07,1.4243817
1906-01-08,1.5809479
1906-01-09,1.5846779
1906-01-10,1.5967596
1906-01-11,1.5583372
1906-01-12,1.3682156
1906-01-13,1.0174307
1906-01-14,0.74996483
1906-01-15,0.6222065
1906-01-16,0.56966686
1906-01-17,0.5204003
1906-01-18,0.43625852
1906-01-19,0.294053
1906-01-20,0.095805
1906-01-21,-0.011458408
1906-01-22,-0.030561877
1906-01-23,-0.02282934
1906-01-24,0.03643275
1906-01-25,0.02626565
1906-01-26,-0.028630422
1906-01-27,-0.028474594
1906-01-28,-0.0039983336
1906-01-29,-0.03479197
1906-01-30,0.011419239
1906-01-31,0.0506903
1906-02-01,0.062070407
1906-02-02,-0.08767608
1906-02-03,-0.22791757
1906-02-04,-0.37617084
1906-02-05,-0.5243393
1906-02-06,-0.61928535
1906-02-07,-0.70289445
1906-02-08,-0.8141142
1906-02-09,-0.9001392
1906-02-10,-0.8587592
1906-02-11,-0.8487909
1906-02-12,-0.90998346
1906-02-13,-0.9421226
1906-02-14,-0.9364837
1906-02-15,-0.88072956
1906-02-16,-0.8394406
1906-02-17,-0.7520509
1906-02-18,-0.6226926
1906-02-19,-0.45454475
1906-02-20,-0.17298761
1906-02-21,0.23471436
1906-02-22,0.60886014
1906-02-23,0.96967936
1906-02-24,1.3100035
1906-02-25,1.5130434
1906-02-26,1.6212065
1906-02-27,1.6723675
1906-02-28,1.5931066
1906-03-01,1.3429675
1906-03-02,1.1903836
1906-03-03,0.96291304
1906-03-04,0.6987146
1906-03-05,0.42288765
1906-03-06,0.21485935
1906-03-07,0.14125139
1906-03-08,0.052010357
1906-03-09,0.010841524
1906-03-10,0.009460112
1906-03-11,-0.04125943
1906-03-12,-0.07514656
1906-03-13,-0.17300491
1906-03-14,-0.28797662
1906-03-15,-0.27017543
1906-03-16,-0.13609706
1906-03-17,-0.09945436
1906-03-18,-0.0818207
1906-03-19,-0.07253261
1906-03-20,-0.16770035
1906-03-21,-0.20798863
1906-03-22,-0.291425
1906-03-23,-0.35075217
1906-03-24,-0.42643955
1906-03-25,-0.4253172
1906-03-26,-0.26572046
1906-03-27,-0.11332689
1906-03-28,0.030668518
1906-03-29,0.11640906
1906-03-30,0.17329882
1906-03-31,0.17766286
1906-04-01,0.35563055
1906-04-02,0.5175508
1906-04-03,0.6299066
1906-04-04,0.6679698
1906-04-05,0.7180764
1906-04-06,0.64460206
1906-04-07,0.57493925
1906-04-08,0.48676464
1906-04-09,0.31148174
1906-04-10,0.12426713
1906-04-11,0.057307974
1906-04-12,0.030837037
1906-04-13,0.11651114
1906-04-14,0.14155798
1906-04-15,0.09084492
1906-04-16,0.004187664
